gene,n_sig,n_tested,median_padj
MED25,17,38,0.13275768458265758
BAG1,17,38,0.1398963868756301
FSTL3,17,38,0.1450888400745684
ATP5H,17,38,0.15818352910869563
DMAP1,17,38,0.16020725379634726
SLC2A1,17,38,0.16958141335942994
ASCL2,17,38,0.1738719661255138
CD52,17,38,0.19645872684410348
IGHG4,17,38,0.20782346639049407
UFD1L,17,38,0.22810330501099507
DNAJC1,17,38,0.22933877028467073
TANC2,17,38,0.3372178523579813
PHGDH,16,38,0.06281258935082001
SF3B4,16,38,0.0795284377606146
HMGB2,16,38,0.08049827443458227
PTGDS,16,38,0.08472807525303598
FKBP10,16,38,0.0876039856074089
AHCY,16,38,0.10833402941882098
TAX1BP3,16,38,0.11342160824960812
SLC39A6,16,38,0.12380856268252656
EVA1B,16,38,0.12442293101783988
NDUFS1,16,38,0.12502821720976767
HAGHL,16,38,0.128088452083586
BRD9,16,38,0.14443846628919815
HLA-DPB1,16,38,0.1641925053017813
UXS1,16,38,0.17412025284447585
PRPF6,16,38,0.17787187376729946
ABCF3,16,38,0.18425942564327186
WDR74,16,38,0.21310951610487083
MAGEF1,16,38,0.22873145281128318
TMEM184A,16,38,0.23119299420895895
GPR160,16,38,0.23585900310261992
TNNT1,16,38,0.24016285968168427
DEAF1,16,38,0.257980180556909
HLA-DMA,16,38,0.28193612209573377
ENPP1,16,38,0.3944355193357725
INTS8,16,38,0.5589005307726149
KDM4B,15,38,0.09448100040194068
UBXN1,15,38,0.10645548111296793
NFATC4,15,38,0.11159062114100268
CTDSPL,15,38,0.11440928801586261
PPP1R1A,15,38,0.121216814012984
SLC35A2,15,38,0.12424817839863736
NDUFV3,15,38,0.13405126800810713
TCEA3,15,38,0.15090678779154165
MYC,15,38,0.15970523360632197
C5orf38,15,38,0.16262084542366567
SMG9,15,38,0.17106097516553748
PLXNA1,15,38,0.17289273320422832
ZFAND3,15,38,0.17902246954067563
KRT10,15,38,0.19601100382032088
BRF1,15,38,0.20396892788684656
TESK1,15,38,0.20474764945963797
UCK1,15,38,0.21109059942953068
