gene,pcc,n_units,pcc_fold00_A,pcc_fold01_B,pcc_fold02_C,pcc_fold03_D,pcc_fold04_E,pcc_fold05_F,pcc_fold06_G,pcc_fold07_H
ATF6B,0.05458305144657061,8,0.02352260611951351,0.021509267389774323,0.03593532741069794,0.08279451727867126,3.95809838664718e-05,0.05761158466339111,0.14646640419960022,0.06878512352705002
ATG12,0.08830831799423322,8,0.07423993200063705,0.20191265642642975,0.10667654871940613,0.08567474782466888,-0.004332166630774736,0.0482400506734848,0.12544932961463928,0.0686054453253746
ATG16L2,0.07478335127234459,8,0.04154463857412338,0.1876751184463501,0.029312795028090477,0.08806689828634262,0.030289998278021812,0.018360685557127,0.0727386549115181,0.13027802109718323
ATL2,0.06454066516744206,8,0.02568267285823822,0.11862986534833908,0.06623577326536179,0.07792358100414276,0.002976061310619116,-0.0009700480732135475,0.10527555644512177,0.12057185918092728
ATP5H,0.13706165796611458,8,0.05474945530295372,0.2804848551750183,0.24311690032482147,0.2314893901348114,0.009128231555223465,-0.009343433193862438,0.17022348940372467,0.11664437502622604
ATP5O,0.13880827859975398,8,0.034787170588970184,0.28950539231300354,0.1911744475364685,0.2175964117050171,-0.01938273385167122,-0.015866132453083992,0.21475088596343994,0.19790078699588776
ATP6AP1,0.14322283017099835,8,-0.006108116824179888,0.3158380389213562,0.2121141254901886,0.13608893752098083,-0.025656122714281082,-0.0019560980144888163,0.28460684418678284,0.2308550328016281
ATP6V0D1,0.05445212440099567,8,-0.010741193778812885,0.18491776287555695,0.10169097036123276,0.06786268949508667,-0.03660637512803078,-0.04825800284743309,0.10555478930473328,0.07119635492563248
AURKAIP1,0.10752011858858168,8,0.04242561757564545,0.28373098373413086,0.14414803683757782,0.14017817378044128,0.012232990935444832,-0.05366673320531845,0.1764630824327469,0.11464879661798477
AVEN,0.008646938542369753,8,-0.03892752155661583,0.007678680587559938,0.015570646151900291,0.017886849120259285,0.008020393550395966,-0.018066173419356346,0.02323177643120289,0.05378085747361183
BABAM1,0.11563125462271273,8,0.060677818953990936,0.24527962505817413,0.1441061645746231,0.13982638716697693,-0.024456273764371872,-0.02347160317003727,0.19145353138446808,0.1916343867778778
BAD,0.0811477871320676,8,0.03474432975053787,0.13400864601135254,0.1536383479833603,0.07490918785333633,-0.0036565104965120554,-0.06089605763554573,0.18878895044326782,0.12764540314674377
BAG1,0.10086765745654702,8,0.07583194226026535,0.25100982189178467,0.14148566126823425,0.1559140980243683,0.010078392922878265,-0.026524510234594345,0.07309389114379883,0.12605196237564087
BAIAP3,-0.007890127133578062,8,0.018916510045528412,-0.060112934559583664,0.007245790213346481,0.025945298373699188,-0.019984321668744087,0.0365547314286232,-0.043891869485378265,-0.02779422141611576
BCAM,0.1011523564811796,8,0.07437291741371155,0.12438500672578812,0.17895670235157013,0.0677746832370758,-0.0306232962757349,0.028299733996391296,0.19348379969596863,0.17256930470466614
BCL2,-0.01660247892141342,8,0.00457276776432991,-0.0031543406657874584,-0.041584547609090805,0.009052450768649578,0.029598556458950043,-0.00664339167997241,-0.04385887086391449,-0.08080245554447174
