gene,arm1_colour_colour,arm2_colour_gray,arm3_gray_gray,delta_arm3_arm1,delta_arm2_arm1
TMEM45B,0.388064,0.341577,0.388259,0.000196,-0.046486
TMEM86A,0.282945,0.251727,0.281739,-0.001206,-0.031218
TMX1,0.556598,0.501201,0.558172,0.001574,-0.055398
TNC,0.571072,0.498724,0.572465,0.001393,-0.072349
TNFRSF14,0.404594,0.358723,0.387929,-0.016664,-0.045871
TNFRSF21,0.207485,0.160739,0.161870,-0.045615,-0.046746
TNFRSF4,0.320379,0.268553,0.330384,0.010005,-0.051826
TNNT1,0.400956,0.364986,0.398132,-0.002824,-0.035969
TOM1L2,0.319651,0.310779,0.322580,0.002929,-0.008872
TP53I3,0.250484,0.206546,0.247597,-0.002888,-0.043938
TPM2,0.326328,0.311463,0.321922,-0.004406,-0.014865
TRAC,0.414068,0.353824,0.420498,0.006430,-0.060244
TRAF5,0.365949,0.343976,0.387156,0.021207,-0.021973
TRAP1,0.426893,0.389904,0.416722,-0.010170,-0.036989
TRAPPC4,0.510810,0.479503,0.514969,0.004159,-0.031307
TRIM14,0.381922,0.357999,0.383214,0.001292,-0.023923
TRIM22,0.420332,0.376698,0.433795,0.013463,-0.043634
TRIM25,0.424066,0.400480,0.427343,0.003277,-0.023587
TRIM47,0.376870,0.353792,0.377732,0.000861,-0.023078
TSPAN33,0.212478,0.180761,0.204571,-0.007906,-0.031716
TSR2,0.259050,0.254147,0.244883,-0.014167,-0.004903
TTC31,0.387151,0.354995,0.389297,0.002146,-0.032156
TTI1,0.363336,0.340099,0.358135,-0.005202,-0.023237
TXN2,0.434247,0.398861,0.433029,-0.001218,-0.035386
TXNDC17,0.614913,0.566872,0.610118,-0.004795,-0.048042
TXNRD2,0.426454,0.391978,0.418128,-0.008326,-0.034476
TYMS,0.613980,0.561863,0.616414,0.002434,-0.052116
TYROBP,0.476187,0.428746,0.484981,0.008794,-0.047441
UBA52,0.270069,0.202224,0.248767,-0.021302,-0.067845
UBA6,0.484694,0.442011,0.484486,-0.000208,-0.042683
UBAP2L,0.550335,0.492275,0.552344,0.002009,-0.058060
UBE2C,0.470116,0.438374,0.461282,-0.008834,-0.031742
UBE2T,0.522859,0.471606,0.507694,-0.015165,-0.051253
UBE2W,0.429518,0.368138,0.419233,-0.010284,-0.061379
UBL7,0.359820,0.320997,0.360611,0.000790,-0.038823
UBR2,0.353120,0.311728,0.365255,0.012135,-0.041392
UBXN1,0.399555,0.358905,0.388360,-0.011195,-0.040650
UCK1,0.376514,0.322315,0.374447,-0.002067,-0.054198
UFD1L,0.512171,0.459953,0.507727,-0.004444,-0.052218
UQCRC1,0.394289,0.369578,0.384362,-0.009926,-0.024711
UXS1,0.439187,0.376295,0.435545,-0.003642,-0.062892
UXT,0.412984,0.379366,0.410576,-0.002409,-0.033619
VARS,0.391416,0.364297,0.393053,0.001637,-0.027120
VAV1,0.295932,0.260363,0.272436,-0.023496,-0.035569
VCAM1,0.466821,0.413472,0.466389,-0.000432,-0.053348
VEGFB,0.393195,0.365659,0.394540,0.001344,-0.027536
VIM,0.477211,0.421181,0.482948,0.005736,-0.056030
VPS13D,0.432601,0.381580,0.421895,-0.010706,-0.051021
VPS45,0.405851,0.366702,0.416190,0.010339,-0.039150
VWF,0.261093,0.246897,0.272741,0.011649,-0.014195
WDFY3,0.378021,0.348194,0.381280,0.003260,-0.029826
WDR13,0.360772,0.303210,0.359115,-0.001657,-0.057562
WDR34,0.365770,0.319483,0.350043,-0.015728,-0.046288
WDR46,0.456730,0.412527,0.438805,-0.017925,-0.044203
WDR73,0.349762,0.300687,0.351035,0.001273,-0.049075
WDR74,0.432161,0.391195,0.440846,0.008685,-0.040966
WIPF1,0.442833,0.406008,0.442029,-0.000804,-0.036825
XAB2,0.298607,0.281024,0.292904,-0.005704,-0.017583
XIAP,0.179580,0.164528,0.176129,-0.003451,-0.015051
XPO6,0.550102,0.491910,0.552173,0.002071,-0.058192
YIPF4,0.360582,0.338324,0.339879,-0.020703,-0.022258
YTHDC1,0.421823,0.380387,0.424837,0.003015,-0.041435
ZDHHC12,0.441780,0.398968,0.447222,0.005442,-0.042812
